Nama,Kegiatan Usaha,Lokasi,Tahun Komersil,Status Operasi,Jumlah Aset,Satuan,Mata Uang,Persentase (%)
PT Indovisi Sentosa Mandiri,Kepelabuhan,Indonesia,,Tidak Aktif,11274,RIBUAN,USD,64.97
PT Mitra Rimba Indoprima,Usahakehutanan,Indonesia,,Tidak Aktif,12,RIBUAN,USD,64.97
PT Indo Mitra Konstruksi,Jasapertambangan,Indonesia,,Tidak Aktif,103,RIBUAN,USD,64.97
PT Grenex Tirta Mandiri,Pengolahanair,Indonesia,2024,Aktif,5118,RIBUAN,USD,74.26
PT Adaro Indonesia,Pertambangan,Indonesia,1992,Aktif,2011921,RIBUAN,USD,88.47
PT Dianlia Setyamukti,Investasi,Indonesia,,Tidak Aktif,39572,RIBUAN,USD,99.99
PT Viscaya Investments,Investasi,Indonesia,,Tidak Aktif,241478,RIBUAN,USD,99.99
Arindo Holdings (Mauritus) Ltd,Investasi,Mauritius,2005,Aktif,1881659,RIBUAN,USD,90.0
PT Adaro Logistics,Jasa,Indonesia,2015,Aktif,801480,RIBUAN,USD,99.99
PT Mustika Indah Permai,Pertambangan,Indonesia,2019,Aktif,186351,RIBUAN,USD,75.0
PT Adaro Persada Mandiri,Jasa,Indonesia,2006,Aktif,72158,RIBUAN,USD,90.59
PT Adaro Mining Technologies,Jasa,Indonesia,2023,Aktif,31179,RIBUAN,USD,99.99
PT Paramitha Cipta Sarana,Pertambangan,Indonesia,2024,Aktif,82074,RIBUAN,USD,75.0
PT Adaro Tirta Mandiri,Aktivitaskantorpusatdanperdagangan,Indonesia,2019,Aktif,96170,RIBUAN,USD,99.02
PT Semesta Centramas,Pertambangan,Indonesia,2014,Aktif,124005,RIBUAN,USD,75.0
PT Laskar Semesta Alam,Pertambangan,Indonesia,2016,Aktif,110709,RIBUAN,USD,75.2
PT Pari Coal,Pertambangan,Indonesia,,Tidak aktif,25300,RIBUAN,USD,64.9
PT Ratah Coal,Pertambangan,Indonesia,,Tidak aktif,197,RIBUAN,USD,99.9
PT Indoprima Niaga Sejahtera,Investasi,Indonesia,,Tidak aktif,50252,RIBUAN,USD,65.0
PT Kaltara Power Indonesia,Penyewaanpembangkitlistrikdanjasapenunjangtenagalistrik,Indonesia,,Tidak aktif,520206,RIBUAN,USD,83.99
PT Sarana Daya Mandiri,Jasa,Indonesia,2009,Aktif,15411,RIBUAN,USD,30.25
PT Rehabilitasi Lingkungan Indonesia,Jasa,Indonesia,2016,Aktif,16140,RIBUAN,USD,90.59
PT Harapan Insani Millenia,Kawasanindustri,Indonesia,,Tidak aktif,9975,RIBUAN,USD,90.59
PT Adaro Jasabara Indonesia,Jasa,Indonesia,2007.0,Aktif,8243,RIBUAN,USD,99.99
PT Indonesia Bulk Terminal,Jasa pengelolaan terminal,Indonesia,1997.0,Aktif,56314,RIBUAN,USD,99.99
Vindoor Investments (Mauritius) Ltd,Investasi,Mauritius,2001.0,Aktif,1343965,RIBUAN,USD,90.0
Adaro International (Singapore) Pte Ltd,Perdagangan batubara,Singapura,2001.0,Aktif,941731,RIBUAN,USD,90.0
PT Maritim Barito Perkasa,Pengangkutan laut,Indonesia,2005.0,Aktif,623038,RIBUAN,USD,99.99
PT Harapan Bahtera Internusa,Pengangkutan laut,Indonesia,2004.0,Aktif,20459,RIBUAN,USD,99.99
PT Puradika Bongkar Muat Makmur,Jasa,Indonesia,2013.0,Aktif,8828,RIBUAN,USD,99.99
PT Indonesia Multi Purpose Terminal,Jasa pengelolaan terminal,Indonesia,2013.0,Aktif,12642,RIBUAN,USD,99.99
Orchard Maritime Logistics Pte Ltd,Penanganan dan pengangkutan batubara,Singapura,2006.0,Aktif,265,RIBUAN,USD,99.99
PT Agri Multi Lestari,Peternakan,Indonesia,2016.0,Aktif,4375,RIBUAN,USD,90.59
PT Adaro Tirta Sarana,Jasa penunjang pertambangan,Indonesia,2021.0,Aktif,41321,RIBUAN,USD,99.02
PT Drupadi Tirta Intan,Pengolahan air,Indonesia,2016.0,Aktif,6442,RIBUAN,USD,99.02
PT Adaro Tirta Gresik,Pengolahan air,Indonesia,2016.0,Aktif,10154,RIBUAN,USD,99.02
Adaro Capital Limited,Investasi,Malaysia,2017.0,Aktif,845144,RIBUAN,USD,90.0
PT Alam Sukses Lestari,Kehutanan,Indonesia,2018.0,Aktif,2715,RIBUAN,USD,90.59
PT Barito Galangan Nusantara,"Pembuatan, perbaikan dan perawatan angkutan laut",Indonesia,2019.0,Aktif,18073,RIBUAN,USD,99.99
PT Hutan Amanah Lestari,Kehutanan,Indonesia,2018.0,Aktif,1273,RIBUAN,USD,67.94
PT Adaro Tirta Mentaya,Pengolahan air,Indonesia,2018.0,Aktif,7745,RIBUAN,USD,89.12
PT Adaro Wamco Prima,Jasa penunjang pertambangan,Indonesia,2019.0,Aktif,9645,RIBUAN,USD,59.41
Adaro Australia Pty Ltd,Investasi,Australia,2021.0,Aktif,633,RIBUAN,USD,90.0
PT Sarana Mekar Pratama,Investasi,Indonesia,,Tidak Aktif,15441,RIBUAN,USD,54.99
PT Sarana Multi Talenta,Jasa,Indonesia,2022.0,Aktif,4448,RIBUAN,USD,99.99
